#separator:Pipe
#columns:Key|Basic meanings of word|Word|Masculine Singular|Feminine Singular|Masculine Plural|Feminine Plural|Adverb|Infinitive|Past Participle|Present Participle|Example sentences|Wiktionary
#notetype:English to French
#deck:French Courses::B2.2::English to French Vocab
adj-autoproclamé|Adjective: self-proclaimed|autoproclamé|autoproclamé|autoproclamée|autoproclamés|autoproclamées||||||
adj-branché|Adjective: trendy|branché|branché|branchée|branchés|branchées||||||
adj-courant|Adjective: current/ present, fluent|courant|courant|courante|courants|courantes||||||
adj-criard|Adjective: (sound) shrill, (colour) garish|criard|criard|criarde|criards|criardes||||||
adj-dominical|Adjective: related to Sunday|dominical|dominical|dominicale|dominicaux|dominicales||||||
adj-déjanté|Adjective: crazy, eccentric|déjanté|déjanté|déjantée|déjantés|déjantées||||||
adj-déraisonnable|Adjective: unreasonable|déraisonnable|déraisonnable||déraisonnables|||||||
adj-fade|Adjective: bland, tasteless|fade|fade||fades|||||||
adj-farouche|Adjective: shy, stubborn|farouche|farouche||farouches|||||||
adj-fondamental|Adjective: fundamental|fondamental|fondamental|fondamentale|fondamentaux|fondamentales||||||
adj-haut de gamme|Adjective: upscale/ high-end|haut de gamme|haut de gamme|||||||||
adj-incontournable|Adjective: unmissable|incontournable|incontournable||incontournables|||||||
adj-indissociable|Adjective: inseparable|indissociable|indissociable||indissociables|||||||
adj-indécent|Adjective: indecent|indécent|indécent|indécente|indécents|indécentes||||||
adj-indéniable|Adjective: undeniable|indéniable|indéniable||indéniables|||||||
adj-influent|Adjective: influential|influent|influent|influente|influents|influentes||||||
adj-intemporel|Adjective: timeless|intemporel|intemporel|intemporelle|intemporels|intemporelles||||||
adj-légitime|Adjective: legitimate|légitime|légitime||légitimes|||||||
adj-omniprésent|Adjective: omnipresent|omniprésent|omniprésent|omniprésente|omniprésents|omniprésentes||||||
adj-outré|Adjective: excessive, outrageous, outraged|outré|outré|outrée|outrés|outrées||||||
adj-phobique|Adjective: phobic|phobique|phobique||phobiques|||||||
adj-pur|Adjective: pure|pur|pur|pure|purs|pures||||||
adj-ringard|Adjective: old fashioned, cheesy|ringard|ringard|ringarde|ringards|ringardes||||||
adj-risible|Adjective: laughable|risible|risible||risibles|||||||
adj-tapageur|Adjective: rowdy/ noisy, garish/ gaudy|tapageur|tapageur|tapageuse|tapageurs|tapageuses||||||
adv-exagérément|Adverb: exaggeratedly|exagérément|||||exagérément|||||
adv-néanmoins|Adverb: however, nonetheless|néanmoins|||||néanmoins|||||
misc-compte tenu de|given/ considering/ in light of|compte tenu de|||||compte tenu de|||||
misc-faire fi de|to turn one's nose up at (disdain), to pay no heed to (disregard)|faire fi de|||||faire fi de|||||
misc-l'habit ne fait pas le moine|the clothing doesn't make the monk (you can't judge a book by its cover)|l'habit ne fait pas le moine|||||l'habit ne fait pas le moine|||||
misc-le dernier cri|the latest thing/ latest fashion|le dernier cri|||||le dernier cri|||||
misc-quoique|(conjunction) (+ subjunctive) though/ although|quoique|||||quoique|||||
misc-tant que|(conjunction) as long as|tant que|||||tant que|||||
misc-tel|(conjunction) like/ as, such as|tel|||||tel|||||
misc-tenir compte|to take into account|tenir compte|||||tenir compte|||||
noun-Cendrillon|Noun: Cinderella|Cendrillon||la Cendrillon||||||||
noun-abus|Noun: abuse|abus|l'abus|||||||||
noun-algue|Noun: algae|algue||l'algue||les algues||||||
noun-allure|Noun: appearance|allure||l'allure||les allures||||||
noun-apparence|Noun: appearance|apparence||l'apparence||les apparances||||||
noun-audace|Noun: audacity|audace||l'audace||les audaces||||||
noun-aviron|Noun: (uncountable) rowing, oar|aviron|l'aviron||les avirons|||||||
noun-barquette|Noun: punnet|barquette||la barquette||les barquettes||||||
noun-bonnet|Noun: beanie, hat|bonnet|le bonnet||les bonnets|||||||
noun-broche|Noun: brooch|broche||la broche||les broches||||||
noun-broutille|Noun: trifle (inconsequential thing)|broutille||la broutille||les broutilles||||||
noun-bucheron|Noun: lumberjack|bucheron|le bucheron||les bucherons|||||||
