Word;Past Participle;Present Participle;Basic meanings of word;Example sentences;Wiktionary
défassuer;défassué;défassuant;(reflexive) (card games) to discard;;
dégager;dégagé;dégageant;to free/ release, to bring out (an idea), (vulgar) go away!;;
élaborer;élaboré;élaborant;to put together/ make up/ draw up, to elaborate, to supervise;;
encadrer;encadré;encadrant;to surround/ outline, to frame;;
former;formé;formant;(generic) to form, to shape, to train;;
négocier;négocié;négociant;to negotiate;;
piloter;piloté;pilotant;to pilot a vehicle, to direct/ guide people;;
piocher;pioché;piochant;(card games) to draw from the deck, to pick from a set of options
recruter;recruté;recrutant;to recruit;;
rédiger;rédigé;rédigeant;to write in a well defined manner;;
relier;relié;reliant;to connect/ link/ relate to;;
retracer;retracé;retraçant;to recount/ tell;;
valider;validé;validant;to validate
