Word;Past Participle;Present Participle;Basic meanings of word;Example sentences;Wiktionary
adapter;adapté;adaptant;to adapt;;
avouer;avoué;avouant;to confess;;
chiner;chiné;chinant;to look around for;;
concerner;concerné;concernant;;;
conter;conté;contant;to recount (tell a story);;
convier;convié;conviant;to invite;;
décontracter;décontracté;décontractant;to relax;;
définir;défini;définissant;to define;;
divertir;diverti;divertissant;to amuse/ entertain, to distract;;
ennuyer;ennuyé;ennuyant;to bore, (reflexive) to be bored;;
intituler;intitulé;intitulant;to title;;
monopoliser;monopolisé;monopolisant;to monpolise
permettre;permis;permettant;to allow;;
planifier;planifié;planifiant;to plan;;
privilégier;privilégié;privilégiant;to favour;;
rejeter;rejeté;rejetant;to reject/ throw back;;
réunir;réuni;réunissant;to collect, to bring together, (reflexive) to meet/ come together
risquer;risqué;risquant;to risk;;
surprendre;surpris;surprenant;to surprise
tenir;tenu;tenant;to hold;;
valoir;valu;valant;to be worth, to earn
viser;visé;visant;to aim/ target
