Word;Masculine Singular;Feminine Singular;Masculine Plural;Feminine Plural;Basic meanings of word;Example sentences;Wiktionary
acceptable;acceptable;acceptable;acceptables;acceptables;acceptable;;
aérien;aérien;aérienne;aériens;aériennes;related to air, aerial;;
alimentaire;alimentaire;alimentaire;alimentaires;alimentaires;food;;
analytique;analytique;analytique;analytiques;analytiques;analytic/analytical;;
autoritaire;autoritaire;autoritaire;autoritaires;autoritaires;authoritarian;;
changeant;changeant;changeante;changeants;changeantes;changeable;;
civique;civique;civique;civiques;civiques;civic;;
concret;concret;concrète;concrets;concrètes;concrete, real;;
conscient;conscient;consciente;conscients;conscientes;alert, conscious, aware of consequences;;
convaincant;convaincant;convaincante;convaincants;convaincantes;convincing, persuasive;;
croyant;croyant;croyante;croyants;croyantes;believer;;
décisif;décisif;décisive;décisifs;décisives;decisive;;
descriptif;descriptif;descriptive;descriptifs;descriptives;descriptives;;
direct;direct;directe;directs;directes;direct;;
discutable;discutable;discutable;discutables;discutables;debatable, questionable;;
égal;égal;égale;égaux;égales;equal;;
électoral;électoral;électorale;électoraux;électorales;electoral;;
explicatif;explicatif;explicative;explicatifs;explicatives;explanatory;;
gagnant;gagnant;gagnante;gagnants;gagnantes;winning, victorious;;
gouvernemental;gouvernemental;gouvernementale;gouvernementaux;gouvernementales;governmental;;
hivernal;hivernal;hivernale;hivernaux;hivernales;winter, wintery;;
théorique;théorique;théorique;théoriques;théoriques;theoretical;;
imaginatif;imaginatif;imaginative;imaginatifs;imaginatives;imaginative;;
intime;intime;intime;intimes;intimes;intimate;;
joueur;joueur;joueuse;joeueurs;joueuses;playful;;
lisible;lisible;lisible;lisibles;lisibles;legible/readable;;
mangeable;mangeable;mangeable;mangeables;mangeables;edible;;
moralisateur;moralisateur;moralisatrice;moralisateurs;moralisatrices;moralising, sanctimonious;;
pareil;pareil;pareille;pareils;pareilles;like, alike, same (also adverb);;
pensif;pensif;pensive;pensifs;pensives;pensive/thoughtful;;
poétique;poétique;poétique;poétiques;poétiques;poetic;;
potelé;potelé;potelée;potelés;potelées;chubby;;
pratique;pratique;pratique;pratiques;pratiques;practical;;
protecteur;protecteur;protectrice;protecteurs;protectrices;protective;;
respectueux;respectueux;respectueuse;respectueux;respectueuses;respectful;;
sain;sain;saine;sains;saines;healthy;;
travailleur;travailleur;travailleuse;travailleurs;travailleuses;hard working;;
